handle,snapshot_date,current_rating,solve_rate_per_week,tag_diversity,avg_problem_rating,contest_frequency,consistency_score,weak_tag_count,rating_volatility,recent_performance,total_ac_count,label_3m,label_6m
5achinnn,2025-03-25,1177,20.48,20,1067.6,1.67,0.583,0,139.9,235.4,71,1258,1251
5achinnn,2025-05-24,1317,13.29,27,1095.6,5.67,0.62,0,60.5,10.6,160,1222,1094
5achinnn,2025-08-07,1244,10.55,29,1115.0,4.67,0.609,0,49.2,-2.8,240,1197,1266
5achinnn,2025-12-23,1031,7.58,29,1116.8,1.0,0.604,0,59.2,-38.4,322,1301,1199
5achinnn,2026-02-25,1205,7.89,31,1135.2,4.33,0.609,0,52.4,-18.0,407,1319,1199
manhbnvn3102,2026-01-17,1030,0.16,19,931.4,1.33,0.586,0,98.8,206.0,35,1195,1195
lucas.morrison,2024-08-11,1099,0.35,20,1020.0,1.33,0.689,0,124.3,219.8,16,1190,1190
ZynImran,2025-10-17,1068,11.13,17,1112.5,1.67,0.627,0,117.1,213.6,24,1336,1128
ZynImran,2025-10-19,1118,11.06,17,1103.7,2.0,0.635,0,123.0,141.4,27,1336,1128
ZynImran,2025-10-24,1057,10.14,17,1134.4,2.33,0.634,0,143.1,83.4,32,1288,1157
ZynImran,2025-10-28,979,10.19,18,1121.1,2.67,0.634,0,153.8,19.8,38,1170,1157
ZynImran,2025-11-06,951,9.77,20,1146.9,3.0,0.636,0,152.5,-5.2,49,1170,1157
darshrustagi,2025-12-29,1091,5.89,23,1060.4,1.67,0.57,0,103.7,218.2,101,1247,1180
DANNYSTARLORD,2025-08-21,991,1.47,17,968.2,0.0,0.663,0,144.0,198.2,45,1206,1206
mrmadness,2024-02-29,1170,10.43,22,1058.8,1.67,0.616,0,107.4,234.0,97,1308,1178
mrmadness,2024-03-01,1208,10.49,22,1058.6,2.0,0.618,0,122.3,160.8,99,1217,1178
mrmadness,2024-03-05,1137,9.99,22,1056.0,2.33,0.615,0,148.0,104.2,100,1217,1178
mrmadness,2024-03-16,1138,9.32,24,1060.2,2.67,0.611,0,148.4,60.2,108,1261,1178
mrmadness,2024-04-12,1080,7.19,24,1062.2,2.67,0.617,0,153.4,-4.2,111,1159,1178
Ryei,2023-12-28,995,0.21,16,868.2,0.33,0.661,0,104.8,199.0,24,902,1080
Ryei,2024-06-23,1047,0.87,23,1025.0,2.0,0.638,0,49.8,29.2,120,1164,1210
Ryei,2024-09-01,1055,1.42,25,1061.1,3.67,0.596,0,53.6,-16.8,211,1240,1290
Ryei,2024-12-19,1241,1.81,28,1059.0,2.67,0.587,0,51.4,-1.0,297,1326,1252
Ryei,2025-03-23,1326,2.29,33,1133.9,2.67,0.59,0,53.6,32.4,405,1252,1308
toni128,2025-05-01,1114,1.09,24,908.1,1.33,0.561,0,135.2,18.6,46,1037,1068
toni128,2025-06-08,1158,1.24,26,920.0,3.0,0.573,0,64.0,8.8,59,1037,1011
toni128,2025-10-12,1031,1.02,26,914.0,1.0,0.564,0,67.4,-25.4,67,1148,1174
toni128,2025-11-29,985,1.13,27,925.0,2.33,0.568,0,49.9,-9.2,82,1105,1174
WHOAMI_NT_AUTHORITY,2025-07-05,959,5.29,21,898.3,1.67,0.519,0,116.0,191.8,115,1172,1172
WHOAMI_NT_AUTHORITY,2025-07-17,913,8.52,23,912.1,2.0,0.542,0,138.1,105.8,200,1172,1172
WHOAMI_NT_AUTHORITY,2025-07-19,902,8.8,23,911.5,2.33,0.547,0,140.0,54.2,209,1172,1172
WHOAMI_NT_AUTHORITY,2025-07-22,963,9.8,24,920.0,2.67,0.555,0,132.9,33.4,237,1172,1172
akshit777,2026-01-23,963,11.79,22,857.4,1.67,0.615,0,156.6,192.6,131,1035,1169
akshit777,2026-01-25,957,12.37,22,861.2,2.0,0.613,0,161.0,99.4,141,1035,1169
akshit777,2026-01-29,988,12.44,23,863.3,2.33,0.605,0,155.7,54.6,149,1035,1169
akshit777,2026-02-11,990,12.22,26,866.5,2.67,0.608,0,152.7,23.2,169,1048,1169
