handle,snapshot_date,current_rating,solve_rate_per_week,tag_diversity,avg_problem_rating,contest_frequency,consistency_score,weak_tag_count,label_3m,label_6m,rating_bucket,rating_change_3m
5achinnn,2025-03-25,1177,20.48,20,1067.6,1.67,0.583,0,1258,1251,800-1200,81
5achinnn,2025-05-24,1317,13.29,27,1095.6,5.67,0.62,0,1222,1094,1200-1400,-95
5achinnn,2025-08-07,1244,10.55,29,1115.0,4.67,0.609,0,1197,1266,1200-1400,-47
5achinnn,2025-12-23,1031,7.58,29,1116.8,1.0,0.604,0,1301,1199,800-1200,270
5achinnn,2026-02-25,1205,7.89,31,1135.2,4.33,0.609,0,1319,1199,1200-1400,114
Akash_15,2025-06-17,1122,0.7,16,917.6,0.33,0.52,1,1115,1180,800-1200,-7
Akash_15,2025-06-23,1125,1.64,19,890.2,1.0,0.491,1,1115,1180,800-1200,-10
Akash_15,2025-07-06,1132,2.97,20,898.8,1.67,0.537,0,1204,1155,800-1200,72
Akash_15,2025-07-27,1010,4.58,23,908.8,2.33,0.569,0,1204,1150,800-1200,194
Akash_15,2025-08-07,1001,4.99,23,924.2,3.0,0.559,0,1180,1150,800-1200,179
I_love_gowurdak,2024-06-16,1103,0.91,27,1151.8,0.0,0.568,0,1179,1179,800-1200,76
I_love_gowurdak,2025-11-14,1178,0.81,28,1135.4,0.33,0.581,0,1196,1178,800-1200,18
I_love_gowurdak,2025-11-28,1413,0.88,28,1136.2,1.67,0.587,0,1238,1104,1400-1600,-175
I_love_gowurdak,2025-12-11,1310,0.93,28,1132.3,3.0,0.593,0,1178,1104,1200-1400,-132
I_love_gowurdak,2026-01-07,1225,0.99,28,1126.8,4.33,0.599,0,1178,1104,1200-1400,-47
Mohamed_Nower,2024-04-08,817,1.76,18,1043.8,1.33,0.444,0,863,966,800-1200,46
Mohamed_Nower,2024-10-19,966,4.38,27,988.7,3.67,0.543,0,1142,1143,800-1200,176
Mohamed_Nower,2025-01-17,1142,5.98,31,980.8,4.67,0.558,0,1143,1185,800-1200,1
Mohamed_Nower,2025-04-21,1119,6.96,33,1034.7,4.33,0.568,0,1185,1167,800-1200,66
Mohamed_Nower,2025-08-10,1142,7.97,34,1094.9,3.33,0.569,0,1321,1347,800-1200,179
karan2124,2024-05-10,873,4.02,17,827.5,1.33,0.646,0,865,865,800-1200,-8
karan2124,2024-05-25,954,4.66,17,845.6,1.0,0.663,0,865,865,800-1200,-89
jsaddict044,2025-08-07,986,1.31,13,850.0,1.33,0.75,1,969,1030,800-1200,-17
jsaddict044,2025-10-03,844,1.57,14,870.0,4.33,0.755,0,942,1008,800-1200,98
jsaddict044,2025-12-11,982,3.81,17,993.0,4.67,0.727,0,1006,855,800-1200,24
jsaddict044,2026-01-25,1005,5.03,19,982.9,4.33,0.687,0,1083,908,800-1200,78
jsaddict044,2026-03-08,1059,5.68,23,1006.5,6.0,0.691,0,970,908,800-1200,-89
5achinnn,2025-03-25,1177,20.48,20,1067.6,1.67,0.583,0,1258,1251,800-1200,81
5achinnn,2025-05-24,1317,13.29,27,1095.6,5.67,0.62,0,1222,1094,1200-1400,-95
5achinnn,2025-08-07,1244,10.55,29,1115.0,4.67,0.609,0,1197,1266,1200-1400,-47
5achinnn,2025-12-23,1031,7.58,29,1116.8,1.0,0.604,0,1301,1199,800-1200,270
5achinnn,2026-02-25,1205,7.89,31,1135.2,4.33,0.609,0,1319,1199,1200-1400,114
manhbnvn3102,2026-01-17,1030,0.16,19,931.4,1.33,0.586,0,1195,1195,800-1200,165
lucas.morrison,2024-08-11,1099,0.35,20,1020.0,1.33,0.689,0,1190,1190,800-1200,91
ZynImran,2025-10-17,1068,11.13,17,1112.5,1.67,0.627,0,1336,1128,800-1200,268
ZynImran,2025-10-19,1118,11.06,17,1103.7,2.0,0.635,0,1336,1128,800-1200,218
ZynImran,2025-10-24,1057,10.14,17,1134.4,2.33,0.634,0,1288,1157,800-1200,231
ZynImran,2025-10-28,979,10.19,18,1121.1,2.67,0.634,0,1170,1157,800-1200,191
ZynImran,2025-11-06,951,9.77,20,1146.9,3.0,0.636,0,1170,1157,800-1200,219
darshrustagi,2025-12-29,1091,5.89,23,1060.4,1.67,0.57,0,1247,1180,800-1200,156
DANNYSTARLORD,2025-08-21,991,1.47,17,968.2,0.0,0.663,0,1206,1206,800-1200,215
mrmadness,2024-02-29,1170,10.43,22,1058.8,1.67,0.616,0,1308,1178,800-1200,138
mrmadness,2024-03-01,1208,10.49,22,1058.6,2.0,0.618,0,1217,1178,1200-1400,9
mrmadness,2024-03-05,1137,9.99,22,1056.0,2.33,0.615,0,1217,1178,800-1200,80
mrmadness,2024-03-16,1138,9.32,24,1060.2,2.67,0.611,0,1261,1178,800-1200,123
mrmadness,2024-04-12,1080,7.19,24,1062.2,2.67,0.617,0,1159,1178,800-1200,79
Ryei,2023-12-28,995,0.21,16,868.2,0.33,0.661,0,902,1080,800-1200,-93
Ryei,2024-06-23,1047,0.87,23,1025.0,2.0,0.638,0,1164,1210,800-1200,117
Ryei,2024-09-01,1055,1.42,25,1061.1,3.67,0.596,0,1240,1290,800-1200,185
Ryei,2024-12-19,1241,1.81,28,1059.0,2.67,0.587,0,1326,1252,1200-1400,85
Ryei,2025-03-23,1326,2.29,33,1133.9,2.67,0.59,0,1252,1308,1200-1400,-74
toni128,2025-05-01,1114,1.09,24,908.1,1.33,0.561,0,1037,1068,800-1200,-77
toni128,2025-06-08,1158,1.24,26,920.0,3.0,0.573,0,1037,1011,800-1200,-121
toni128,2025-10-12,1031,1.02,26,914.0,1.0,0.564,0,1148,1174,800-1200,117
toni128,2025-11-29,985,1.13,27,925.0,2.33,0.568,0,1105,1174,800-1200,120
WHOAMI_NT_AUTHORITY,2025-07-05,959,5.29,21,898.3,1.67,0.519,0,1172,1172,800-1200,213
WHOAMI_NT_AUTHORITY,2025-07-17,913,8.52,23,912.1,2.0,0.542,0,1172,1172,800-1200,259
WHOAMI_NT_AUTHORITY,2025-07-19,902,8.8,23,911.5,2.33,0.547,0,1172,1172,800-1200,270
WHOAMI_NT_AUTHORITY,2025-07-22,963,9.8,24,920.0,2.67,0.555,0,1172,1172,800-1200,209
akshit777,2026-01-23,963,11.79,22,857.4,1.67,0.615,0,1035,1169,800-1200,72
akshit777,2026-01-25,957,12.37,22,861.2,2.0,0.613,0,1035,1169,800-1200,78
akshit777,2026-01-29,988,12.44,23,863.3,2.33,0.605,0,1035,1169,800-1200,47
akshit777,2026-02-11,990,12.22,26,866.5,2.67,0.608,0,1048,1169,800-1200,58
akshit777,2026-02-15,1056,12.08,26,869.8,3.0,0.61,0,1048,1169,800-1200,-8
trishal_13,2023-09-11,1083,4.94,16,815.6,1.67,0.553,0,1049,1106,800-1200,-34
trishal_13,2023-10-09,1068,5.6,19,844.1,2.67,0.555,0,1175,1106,800-1200,107
trishal_13,2023-12-16,1049,5.0,21,883.2,1.67,0.571,0,1106,1087,800-1200,57
trishal_13,2023-12-30,1160,5.0,21,884.7,2.0,0.581,0,1106,1087,800-1200,-54
trishal_13,2024-05-17,1127,2.85,21,883.2,0.33,0.577,0,1065,1158,800-1200,-62
Aks06,2025-04-13,980,1.79,16,845.5,1.67,0.624,1,1034,1030,800-1200,54
amankasaudhan,2025-11-10,901,2.2,14,847.1,2.33,0.689,0,979,1177,800-1200,78
amankasaudhan,2025-11-14,897,2.05,14,847.1,2.67,0.689,0,986,1177,800-1200,89
amankasaudhan,2026-01-07,813,1.25,14,890.0,1.33,0.674,0,1097,1154,800-1200,284
Thunder_Dragon,2025-07-17,1052,2.89,23,891.8,0.67,0.62,0,1072,1156,800-1200,20
TABREZQURESHI,2025-05-31,951,5.02,17,876.6,1.33,0.574,0,953,928,800-1200,2
TABREZQURESHI,2025-09-09,1044,3.5,17,879.5,1.0,0.574,0,928,1160,800-1200,-116
TABREZQURESHI,2025-10-10,922,3.4,18,880.3,2.33,0.574,0,1081,1181,800-1200,159
TABREZQURESHI,2025-12-29,1065,4.93,19,907.0,1.33,0.576,0,1160,1148,800-1200,95
TABREZQURESHI,2026-01-18,1135,5.19,20,922.0,2.0,0.566,0,1181,1148,800-1200,46
shahanmusthakim,2026-02-27,949,3.55,16,885.5,1.67,0.667,0,1113,1147,800-1200,164
mohitiit651,2020-12-15,813,1.62,9,866.7,1.33,0.71,0,762,1034,800-1200,-51
mohitiit651,2021-02-05,999,5.52,21,1103.7,4.33,0.636,0,912,1100,800-1200,-87
